#36864
#36864
#36864
#0
#0
   Index      Gx      Gy      Gz
     265   28802    -760  -15605
     266   -7696  -29966  -10789
     267    3576  -30366   11778
     268   -5947  -21702  -23818
     269   -5480  -28869   14497
     270   -4899  -19635  -25770
     271   19025  -24701   10076
     272   -8939   31521    -381
     273   15023  -22661   18287
     274   29238   -4491   14092
     275  -10116  -16472   26457
     276  -17315   10840   25618
     277   14553   27272  -10867
     278  -28746    8814   13024
     279   21706  -14501  -19803
     280  -11178   -1483  -30765
     281   17462  -22646   15995
     282  -14842   29212       1
     283   21380  -24795   -1315
     284  -19065   -2591   26523
     285   27457  -16368    7200
     286   -5725   31327    7711
     287   20374  -10183   23555
     288   16658  -19884   20019
     289  -12645   29807    5027
     290   17919   17910  -20779
     291  -13612  -24452  -17043
     292    4365  -20323   25329
     293   -8241    7190  -30887
     294  -24852   21344    -661
     295   14606  -19665  -21762
     296   -8985    2977   31369
     297   14054  -26112   13938
     298   16784  -28141      30
     299   25541  -20437   -1894
     300     140  -15516  -28859
     301  -13919  -27160   11925
     302    9613    9059  -29986
     303   16589    3113  -28084
     304  -24747  -21428    1418
     305   -2186  -19247  -26427
     306   24159   -7434   20849
     307  -17741  -18051   20810
     308  -28784    5709   14577
     309  -23302    2036  -22945
     310   20726  -23123   10459
     311   13516  -29824    1218
     312   -8256   -6690   30995
     313  -28449  -12999    9764
     314  -26172   -1144   19681
     315   21575  -24474   -3027
     316  -15250  -28661   -4430
     317   -5973   24155   21319
     318   15045  -10108  -27296
     319   20730    8125  -24039
     320  -24413   -4418  -21404
     321  -31935   -1655   -7147
     322  -24466    1853   21716
     323   15273  -21098   19880
     324   11638  -10419  -28804
     325   29165  -13396   -6602
     326   19150   26529    1761
     327   31688    6305   -5452
     328   10368   29334   10279
     329  -20651  -24018    8386
     330     156  -29796  -13632
     331  -11727   30266   -4479
     332   -7225    3643  -31752
     333   -5716   -5888   31722
     334  -17422  -17157  -21811
     335  -17173  -10620  -25806
     336  -11193   29638   -8361
     337  -11898   23253  -19783
     338   30780  -11213    -675
     339   20939  -22903  -10518
     340   -9420  -10437   29597
     341  -16638   -6169   27546
     342  -10005   10686  -29314
     343  -28270   -5611   15587
     344   -9771  -27372  -15130
     345   -2954  -32239   -5056
     346  -20358  -25482    3137
     347    1976  -15097   29014
     348    5136   31909   -5390
     349   -7694    3513   31656
     350   -5738   29520  -13011
     351   13603  -26738   13178
     352  -28150  -12743   10900
     353    5659  -32172    2564
     354  -24617   17294   12982
     355  -12168  -28399   10913
     356   12107  -21958  -21093
     357    8177  -20310  -24377
     358    1097   -1655   32706
     359  -14302   20114  -21552
     360   10787   -4366  -30630
     361   29191   14333    4010
     362    7601   19738   25025
     363  -29366   -9400   11086
     364  -25363    4333  -20287
     365   28086   14526   -8590
     366   32173    5650   -2573
     367    8339    2805   31563
     368  -18744   14673  -22517
     369   22691   -3992   23298
     370  -19676   24423    9486
     371  -31192   -5910   -8108
     372     708  -25747  -20255
     373  -20856   24830   -4701
     374    7014   31985   -1178
     375   21253    1955  -24862
     376  -15217  -28419    5865
     377   11139   25051  -17944
     378  -31057   -7206   -7561
     379   -2625   32205    5438
     380  -13232   25179  -16265
     381   29467   -4088  -13733
     382    9948   30262    7673
     383    9370  -27372  -15382
     384  -24050    6584   21257
     385   -7682   -3761   31630
     386   11412   26753   15089
     387   22775   21219  -10231
     388   -2170   32227    5509
     389  -14987  -13723  -25704
     390  -19093     358   26626
     391   21264   -1578   24880
     392   15747   19800   20824
     393  -17490   22844  -15680
     394  -31649   -5809    6183
     395   -3857   -8923  -31291
     396  -32238   -3216   -4898
     397   25575   16399  -12273
     398   23315   -6159  -22184
     399  -23693    8313  -21051
     400  -15075   28650   -5053
     401   18650    4325  -26591
     402  -32012   -2686    6456
     403   11140  -30756   -1905
     404   27740  -11800   12841
     405  -29896    2873   13099
     406  -30920    5928    9078
     407    6595   -9796  -30564
     408   12002   11449  -28257
     409   17765   24865  -11822
     410  -16723  -28105    2022
     411   12804  -28412   10121
     412   12474  -29688   -6054
     413   17523  -18079   20969
     414  -25009   15602   14309
     415    8505    7620   30712
     416   32268    5311    2053
     417   19528   23685  -11458
     418   -8926  -18056  -25844
     419   17350  -26828    7271
     420  -21560  -16582   18271
     421   15554   28400   -5016
     422  -17146   -7787  -26814
     423   16257  -23982  -15304
     424  -17983   15332  -22697
     425  -22177  -19387  -14351
     426  -32446   -2336   -3926
     427  -28874   15388    1778
     428   26376   19239   -2790
     429    3494  -21361   24599
     430   -2283   32665    1183
     431   14195    5193   29072
     432  -20439   23967    9024
     433    3701   12661   29994
     434  -11308  -25633  -16992
     435   22171   21186   11541
     436  -29701     651  -13823
     437  -17474  -25328   11259
     438  -29584   -5907   12788
     439   15838   -4615  -28311
     440   -6849  -27722  -16069
     441   15903  -22219  -18084
     442  -30104    6814   10998
     443   11693  -20677   22569
     444  -29491  -10001  -10193
     445  -17756   20504   18383
     446  -13582  -27516   11490
     447     525   -5326  -32326
     448  -31179    7526    6695
     449  -23688  -21388   -7420
     450    6127   17115   27261
     451    -990   -1989  -32691
     452   10768   30848   -2460
     453  -29627  -13087   -4957
     454   31129   -9903   -2561
     455   26804   -6460   17704
     456    5904  -30057  -11634
     457    3613  -26691   18660
     458  -32712     225   -1877
     459    9291    7859  -30423
     460   21509  -12643  -21241
     461   18040  -23173   14532
     462   11109   30777   -1737
     463  -17092   16234  -22758
     464    9682   29521  -10411
     465  -21432  -23765    7037
     466   19776   16567  -20201
     467   28321   -5238   15625
     468   26337   -9798  -16852
     469  -11156  -14173   27355
     470  -26181   12615  -15134
     471   14304  -23797   17399
     472   15764   20220  -20403
     473   14903   25644  -13926
     474   16200   -9653  -26795
     475  -32163    3772    4994
     476  -24568   18046   12016
     477  -32367   -4088    3053
     478   28098  -16139   -4867
     479  -15805  -27097    9465
     480   25320   18411    9673
     481   27597  -13207   11731
     482    4743   31176    8898
     483    7026  -13159   29174
     484   23702  -12166  -19074
     485   11045  -27632   13715
     486   -4726  -27432  -17285
     487   13272   16594  -24942
     488   -4933  -31620    7032
     489    4412  -32303   -3267
     490  -12823  -30032   -2704
     491   29276  -10193   10612
     492   -6006  -26904   17712
     493     896   31249   -9815
     494   12285   28460   10617
     495   -2205   32227   -5494
     496   21055   11322   22407
     497   23984    4736   21817
     498  -28471    2876  -15961
     499  -26631   17582    7435
     500  -31696    6321    5390
     501  -22661  -23516    2669
     502   -5843   21254   24243
     503   22796   17787  -15414
     504  -29879   -6226  -11922
     505   18251  -10854  -24954
     506  -11924  -10033   28823
     507   23302  -20968    9538
     508  -14459   29373   -1345
     509    5155   31044    9129
     510   -4134  -32372    2930
     511  -18676   25132    9653
     512  -23143   23017    2876
     513   -7705   28362   14486
     514  -16894   28037    1474
     515    2630   -4466   32354
     516   24579  -11385  -18436
     517  -10758  -17045  -25833
     518    6382  -19460  -25578
     519   -3958   15494  -28599
     520   31914   -4007   -6253
     521   29883  -13007   -3383
     522    -572   31559   -8793
     523   -8269  -26591   17268
     524    4521   31352    8381
     525   -8068  -26284   17823
     526  -11405   11786   28366
     527     961  -10628   30980
     528  -22712  -12267  -20182
     529  -12928   18613  -23666
     530  -18034  -24145   12862
     531    4764  -18504  -26618
     532    7275   31905    1664
     533   31883   -7291    1988
     534    9073   20765   23666
     535  -12351  -30333    -992
     536   23038  -22229   -6982
     537   29836   -7564   11234
     538  -27184    9202   15810
     539  -17515  -27661    1314
     540   13658   28062   -9979
     541  -21160   -9990  -22937
     542   22875  -22771    5641
     543   10784   26728  -15587
     544  -13393   -1746  -29853
     545  -24071   14666   16706
     546  -21735   17807  -16856
     547  -31569    7923   -3774
     548   16581  -25441   12307
     549   24782   19348   -9225
     550  -24963  -14513   15488
     551  -27838   15846   -6900
     552   -6813   29711   12019
     553   18018  -23878   13372
     554  -14403   29187   -3780
     555    8680    2661  -31484
     556   -2564  -30728  -11084
     557   31956    5279   -4960
     558   29083    1093  -15055
     559  -23271   11746  -19853
     560   18886   16506   21083
     561   24902   20795   -4592
     562  -16706  -12198   25412
     563  -22064   23151   -7131
     564    8902   26141   17636
     565  -30823   -8824   -6763
     566  -21381   14413   20218
     567   21325  -18424   16716
     568  -14469   28279   -8034
     569  -18478   19644  -18610
     570  -24844    9706   19031
     571   11028    9222   29444
     572  -30192   -5866  -11300
     573   19738   23623   11223
     574  -19382  -26111   -4020
     575   23552   -6427   21855
     576  -14174  -23713   17619
     577    6941  -23451  -21806
     578  -20064   10409   23722
     579    3969    5224   32103
     580  -32568    3479     945
     581   10082  -18379   25183
     582  -11311   30206    5768
     583   19196  -13901  -22625
     584  -25527   -5930  -19669
     585   29404   13110   -6097
     586   13095   25229   16298
     587   22672   10215   21336
     588   11640  -24022   19002
     589   -6026   29931  -11892
     590   10682  -30896    2232
     591   13222   13293  -26872
     592  -15124   14050  -25446
     593    5968   21677  -23835
     594   12341   28005   11707
     595   -3174  -32611    -316
     596    1450  -25653  -20334
     597   32413   -4786    -327
     598   -9523  -21205  -23093
     599    6581  -13408  -29164
     600   12371   19808   22983
     601   29217   14291    3968
     602  -16600    2334   28153
     603  -19913   22605   12888
     604  -18564  -26450    5425
     605    4980  -24933   20669
     606  -15256  -14965   24838
     607    6616    1821   32040
     608   -1412    -496  -32732
     609   10091  -19957   23948
     610  -31547   -4898    7376
     611    6453   -1041   32108
     612  -32068   -6481    1813
     613   30570  -11717   -1341
     614    3464  -25916   19748
     615   27415   -1994  -17835
     616  -31623   -8581    -124
     617   -6692  -18406   26269
     618  -31898    5673    4892
     619    -707   23695   22620
     620   13003   25690   15639
     621   24710  -20767    5635
     622   -7940  -27113  -16597
     623   26295   16226   10905
     624   -9599  -15377  -27296
     625   26708  -17094    8254
     626   -3125  -30865   10547
     627    -918   29088   15056
     628   10620   17468   25607
     629    -155    8639   31607
     630  -14055  -23775   17630
     631  -32018    4470    5337
     632  -16853    1323   28069
     633   -7499   31462    5248
     634   -4280   -7306  -31654
     635  -21299   -1634  -24846
     636  -15907  -15988   23769
     637  -32425    4604   -1029
     638  -11875   20540   22599
     639   20916  -16537  -19043
     640  -20934   24973    3426
     641  -30443   -8626    8511
     642    4611   10570  -30670
     643   31109   -7024    7517
     644   19746  -24544   -9016
     645    3411   13803  -29520
     646  -32574   -3481    -683
     647   24516    8159  -20151
     648  -18469   11064  -24700
     649  -13556   22746  -19300
     650  -13302   18976  -23165
     651   24444    7807  -20376
     652    1567   13149  -29971
     653    7565   30625    8860
     654    8331   28282  -14295
     655   -9711  -31192    2529
     656   12551   27432   12789
     657  -15574   28829     -57
     658    -893   32670    2346
     659  -32342   -3836   -3592
     660  -19558   -9151  -24645
     661    1656   32719    -631
     662   12987   19231   23133
     663   13420  -17119   24504
     664   -4209   28798  -15053
     665  -25899   -6151  -19105
     666  -20609  -25115    4258
     667   21096  -23324    9195
     668   31823   -5601   -5437
     669  -23894  -11464  -19268
     670    1396  -14492   29354
     671   -4583  -17393  -27388
     672   19691   -4270  -25839
     673  -15817  -16528  -23458
     674  -23358   -7091  -21858
     675  -29426  -12038    7926
     676    9831   30881    4830
     677   -6646  -12955  -29354
     678    6713   15167   28258
     679  -18245  -22720   14985
     680  -26639   11002   15586
     681   -7552  -14071  -28611
     682   12165  -19175   23621
     683    4115  -15693   28468
     684     812   -8080   31744
     685  -21760   -6843   23522
     686   26833    1854   18713
     687   11928  -30506     876
     688    9837  -23032  -21128
     689  -18692  -26078   -6645
     690   21054    7407  -23989
     691  -10631    3941  -30742
     692   -4697   14946   28778
     693  -27402   12379  -13021
     694   29890    -841  -13399
     695   29785   -8162  -10948
     696  -23210  -23028   -2158
     697  -19167   24737    9712
     698    9486   -3953  -31113
     699   15409   18256   22426
     700   -4721   32193    3868
     701   -2719   22973   23205
     702  -15093  -27321   -9969
     703   29233   14372   -3537
     704    7385   12875  -29212
     705  -24761   -3574  -21160
     706    8198   29876   10669
     707  -15634  -26576  -11086
     708   18945   -5725   26114
     709  -18097   10952  -25023
     710    6712    2027   32007
     711  -31783    7525    2620
     712   10752  -27824   13560
     713    1440    -327   32733
     714   20593   21360  -13903
     715  -27031   17651   -5601
     716  -24988  -21069   -2304
     717   13227   24484   17298
     718  -10678  -22908   20853
     719  -19678     240  -26199
     720  -22268   11524  -21094
     721   31346   -2546   -9198
     722  -14146    5440  -29050
     723    7583  -31845    1434
     724  -29678   -8784  -10757
     725   15865  -19240  -21254
     726   22031  -14982  -19073
     727    4279  -18718   26551
     728   22523  -20838   11494
     729   26666   18929   -2066
     730    2815   18337   27008
     731  -11776  -16172  -25950
     732  -28093    5046   16091
     733   -8637  -27555   15483
     734   19434   26068    4054
     735    7714   24204  -20696
     736  -22988   22463    6370
     737  -14893   26076  -13110
     738  -12849   18266  -23977
     739  -20414  -17384  -18834
     740  -20079    -773   25882
     741    -569   16870  -28084
     742   28059   -1241  -16875
     743  -14450   -3105  -29244
     744  -12525   30036   -3819
     745   -6185    4246  -31896
     746    4829  -19308   26029
     747   25814    3480  -19879
     748   13909   13041  -26648
     749   -7211   29364  -12624
     750   26657  -18834   -2879
     751  -19786    -870  -26104
     752    3760   -2360   32464
     753   -3829   30625  -11003
     754   15095  -25873  -13280
     755  -11431  -10920  -28700
     756  -25709  -15422  -13221
     757   -9938   -9542  -29729
     758  -20792   25322     355
     759  -27586    4377   17132
     760  -12367   29102    8589
     761   17133    7602  -26876
     762     783   17848  -27467
     763  -21457  -16826   18168
     764  -17477    7956   26550
     765  -30014   12958    2213
     766   16902   11485  -25613
     767   23143    9064   21351
     768   21665  -22174  -10610
     769   14985   25822  -13501
     770   17958   22149   16141
     771   -3721   -5484  -32089
     772   12078    7218  -29592
     773    4814  -30486   11004
     774  -31708   -4719    6780
     775    1598   32683    1710
     776   20153   20997   15053
     777   21540   20620   13582
     778   25987    7635   18439
     779    7437  -28727  -13894
     780   26662   14269   12617
     781  -31615    7769    3713
     782   19380  -25536   -6781
     783   -8983  -12942  -28730
     784    8664  -25719   18361
     785   30854   -2898  -10643
     786   -8395  -30874    7068
     787  -19968   20614   15810
     788   -5688  -19250  -25898
     789    7390  -20600  -24385
     790   27698   17203    3246
     791   29704   13798    -967
     792    2968  -20249   25589
     793   17372  -19698   19592
     794  -17560   23009   15357
     795   -5773  -13259  -29403
     796  -13498  -10392  -27990
     797    6252   17534  -26965
     798  -15635  -21140   19552
     799   -7245   13353   29032
     800  -27058   14020   12039
     801    8094  -20659  -24111
     802   -7454  -28373   14596
     803   -6393   19513  -25535
     804   17126   12328  -25067
     805  -18621   25335    9221
     806   20236  -23201  -11218
     807   22775  -21292   10079
     808   28196   -3475   16326
     809  -29598   12956    5451
     810   10615   26712   15730
     811  -19173   20101  -17377
     812  -21890   18905   15397
     813    3387   10539   30840
     814   11028  -19334   24046
     815  -11077   14687  -27115
     816  -28761   13032   -8752
     817  -16575   26934   -8571
     818   18001   24547   12125
     819    4444   31823    6418
     820  -19275  -18508   18963
     821    5883  -31045   -8673
     822    2863   26350  -19265
     823   18235    2720  -27087
     824  -23286  -14623   17820
     825   14873   21918  -19288
     826   21452   23661   -7322
     827  -26097  -19520    3393
     828   -4994  -27077  -17762
     829   -3022  -31273    9301
     830   24470  -21767   -1017
     831   13554  -19219  -22815
     832   -4269   26722   18476
     833  -19692     890  -26173
     834  -20504   21705  -13495
     835    2613  -27760  -17210
     836   10994  -30801    2023
     837  -16239   -9658  -26770
     838  -13723  -29100   -6205
     839    3177   19823  -25896
     840    4895   20102  -25408
     841  -10551  -24797   18639
     842   22953  -18979  -13659
     843    -628   32050    6784
     844    6877  -10002   30435
     845   22818   23095   -4424
     846  -19426  -23095   12762
     847   26611   -8911   16914
     848    7692  -31543   -4414
     849  -23981  -19867   10190
     850  -18489   -8818  -25574
     851   16288     582   28426
     852  -20383  -15449  -20481
     853     325   28961  -15323
     854   -9421   24575   19518
     855   -9495  -31350    -812
     856  -27603    1020   17625
     857   31373   -6554   -6815
     858   27676    9288  -14880
     859   11131   -5481  -30326
     860   -3144   30574   11356
     861   30465  -11145   -4615
     862  -20163  -25634   -3162
     863  -31526    5284    7199
     864    3626  -15060  -28874
     865   30421    1577  -12070
     866   16486   21964   17872
     867  -11841  -27708   12873
     868  -21012   -5411  -24553
     869  -21147   -6245  -24237
     870  -18862    2049  -26714
     871    4465    3658  -32254
     872  -29596  -13126   -5038
     873  -17975   25428   10195
     874   13001  -26290   14609
     875  -32327    4945    2045
     876   20240   -2608  -25635
     877   29190   12124    8635
     878    4074   21399  -24476
     879  -20220   -9510  -23965
     880   -5370   18783  -26305
     881  -13421   18525  -23459
     882  -24513    -353  -21740
     883   21201  -15096  -19906
     884  -30462    1622  -11961
     885   28685   10300  -12030
     886   12034   24212  -18509
     887  -23915   15347  -16315
     888  -11878  -16417   25749
     889  -29860    2164   13318
     890   30044  -12555    3652
     891   20500  -15024  -20680
     892  -14339  -22625  -18871
     893    8566  -15267  -27698
     894   11969  -13964   27117
     895  -18082   23731   13546
     896  -25811   19826    3787
     897   28156   11462  -12226
     898  -21626  -11290  -21875
     899   -3105  -31616    8027
     900    6059   -3804   31976
     901  -24640     264  -21597
     902  -15608   24043  -15872
     903    -969   32046   -6763
     904   10899  -13246  -27917
     905  -28520  -10709   12064
     906   31466   -6528   -6396
     907    7666   -3697   31642
     908  -27305   16941   -6410
     909   28302   14495    7908
     910   23304   -4187  -22650
     911  -22164   22846   -7775
     912   18988   14830  -22207
     913     638   28056   16915
     914   16639  -14329   24320
     915  -10838  -29335   -9779
     916    1918   30367   12158
     917   21105  -21124  -13490
     918   -4628  -32376    2007
     919   -3758  -24186   21785
     920  -17700  -26824    6388
     921   -8616  -29714  -10792
     922   29997     843  -13157
     923   16632  -28060   -3106
     924  -23363  -22408   -5069
     925   -8668   30230   -9200
     926  -30410  -11587    3821
     927   21927   18444   15894
     928    5598   31902   -4958
     929  -31631   -7190   -4629
     930  -17575  -12666  -24583
     931    7650   -6621  -31165
     932   17394   24125  -13749
     933   30493    -902  -11958
     934    4900   30793   10071
     935   12811   -3585   29944
     936    8025   13923   28555
     937  -16739  -28033   -2759
     938  -14256   24107  -17007
     939  -27735   -2312   17294
     940  -27175    6806   16994
     941  -15235  -24348   15770
     942   20011   20449   15969
     943  -19411   -5467  -25825
     944   20559   22570   11898
     945  -28485   16014   -2407
     946  -18431  -19445  -18863
     947  -19485   -1325  -26310
     948   22911   -9952   21205
     949  -18934  -16172  -21297
     950   24229    -714  -22047
     951   29954   -7621   10877
     952  -13933  -14544   25845
     953    1044   32732    1085
     954  -27274   12381   13283
     955  -20579   11609  -22701
     956   11546   -7567   29716
     957   22821   23359    2679
     958   30432   -2969   11778
     959    1984   12138  -30370
     960   -4297  -25389   20263
     961   17724  -22227   16292
     962   -5402   20614  -24890
     963   31699   -8131    1641
     964  -23641   19608  -11413
     965  -24906  -21072    3044
     966    5886  -31545   -6626
     967  -11885   30024   -5564
     968   24825   -4428  -20922
     969   11091  -26337  -16030
     970    8856   -2819  -31421
     971  -15366    8163   27765
     972  -21359   22715   10072
     973   -9364  -13498   28350
     974   17842  -16403  -22051
     975    7055  -16196   27596
     976  -21581  -15330   19310
     977  -32371    -239    5071
     978  -28225   16172   -3929
     979  -28600    1831  -15884
     980   24936  -13388   16511
     981  -27002   -5327  -17781
     982    3696  -15630  -28560
     983   23038   15361   17519
     984   24827   18203   11219
     985   -3897   29318   14103
     986   29718  -10190    9309
     987   31953   -4950   -5305
     988   -5611  -31479   -7158
     989  -12669  -21998   20717
     990   20176  -22878  -11964
     991  -23256   10388   20613
     992   -1753   26678   18944
     993  -20834   10328   23085
     994   19809  -26098     369
     995    9810  -29973    8890
     996   11031   -8879   29548
     997   21097   24800   -3672
     998    2355  -15386  -28833
     999   -7676   20906   24034
    1000    9665   30105    8597
    1001  -27510   15055   -9497
    1002    3407    1103   32570
    1003   -5824   26702  -18076
    1004   26387   16659    9990
    1005   30954    8255    6880
    1006  -11209   29890   -7389
    1007   11082  -20024  -23448
    1008   10234     701  -31119
    1009   19455  -25854   -5169
    1010  -13733   21365  -20702
    1011  -18615   22543   14795
    1012  -24982   19425   -8495
    1013  -11464  -21005   22383
    1014   18653   22137   15350
    1015  -25246   20362    4654
    1016  -10340   22766  -21176
    1017    6067  -11764   29974
    1018   22552   18125  -15379
    1019   16035   -6505   27824
    1020  -23283   14277  -18102
    1021    5643  -31195   -8285
    1022  -16966    7419  -27032
    1023   11747   29177    9182
    1024   22143   12051  -20930
    1025   11475   -7286  -29814
    1026  -19014   22320   14625
    1027   22550  -21568   -9998
    1028  -30658   -4791   10525
    1029  -28031   15164   -7610
    1030   24287  -20350    8345
